trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-132.0129082685257,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-239.22039570592202,"{0: 9, 1: 2, 2: 2, 3: 3, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-192.54713874058652,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-131.1968085926517,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-97.61842373913348,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,10.594764788516732,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-190.71982718501266,"{0: 15, 1: 6, 2: 4, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-140.0978353953762,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-38.290884421759024,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,8,-61.24354023245459,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,6,-62.2784529928377,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-34.67735892782499,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,20,1.0424331869500838,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-127.33461240167654,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-136.6128772692107,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,11,-60.46202630986793,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-41.680000109031496,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,16.928098561384743,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-20.32305816818795,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,14.485746924082413,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,-24.76072385472394,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-90.44297503331347,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,3,29.08380026811159,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,-75.856863114997,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",25,1,-45.768651123434665,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,10,18.333520780061914,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,-29.019644473310983,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,11.40010871926043,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,20.701736968680066,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-15.075525878709406,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
