trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.80285221190977,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9980019986673331}",20,0,-96.41032193430671,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9960079893439915}",25,0,-117.42951087252204,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9940179640539353}",30,0,-285.53354436907705,"{0: 13, 1: 4, 2: 6, 3: 3, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9920319148370607}",20,0,-41.52027430536023,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,18,-100.66806846397184,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9880717128619305}",20,0,-130.55159257520134,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9860975442628619}",20,0,-145.3352858575361,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9841273200552851}",20,0,-111.7581136942305,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9821610323583008}",20,0,-47.40601623953012,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-90.3487756387591,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.97824023505121}",20,0,-38.79476509058705,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,0,-141.1323342608144,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9743350896087494}",25,0,-70.72444580027738,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9723883668012469}",20,0,-112.41440405344763,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9704455335485082}",35,0,-162.05492318861883,"{0: 22, 1: 4, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9685065820791976}",30,0,-191.68666455896766,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9665715046375066}",25,5,-37.12457380740035,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9646402934831231}",20,0,-82.37631710330216,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9627129408911995}",25,18,-31.909676560934866,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,11,-29.29433465139218,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.9588697805724845}",20,10,-32.256956458689366,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.9569539574730467}",20,0,-148.36963370503807,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9550419621907147}",30,0,-72.4570719917323,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9531337870775047}",20,0,-112.29796819726691,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-208.56180035902472,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9493288668428895}",35,0,-127.07959808738471,"{0: 23, 1: 1, 2: 9, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9474321065017983}",20,0,-45.84842618554542,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9455391358903963}",30,0,-172.77118061536135,"{0: 14, 1: 8, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9436499474367985}",25,0,-124.7053317477491,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-97.41679493807418,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9398828867910889}",25,0,-135.0057675195624,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9380049995307295}",20,0,-180.95636373262627,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9361308642916188}",20,0,-97.98175725400013,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9342604735772135}",25,0,-93.0195447139556,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9323938199059483}",35,0,-134.06072019055773,"{0: 24, 1: 2, 2: 5, 3: 3, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9305308958112057}",25,0,-122.61988135041678,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9286716938412872}",20,0,-83.34245155091686,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9268162065593822}",25,0,-77.22975439795805,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9249644265435393}",20,0,-90.52434751893286,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.9231163463866358}",35,19,-65.3930523632903,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.9212719586963487}",20,0,-56.90752369330194,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9194312560951247}",20,0,-114.76914477028994,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9175942312201509}",25,0,-52.01770481645085,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.9157608767233256}",25,6,-146.4875319227797,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 2}",1
46,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-169.61216554983088,"{0: 12, 1: 2, 2: 6, 3: 4, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9121051495450904}",25,0,-261.8345525570882,"{0: 10, 1: 4, 2: 5, 3: 2, 4: 4}",0
48,False,"{'a': 0.5, 'e': 0.910282762240767}",20,0,-188.73175631988641,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.9084640160687062}",35,3,-71.35376405406853,"{0: 24, 1: 2, 2: 4, 3: 1, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.9066489037539209}",30,0,-144.2573300603873,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-153.30195425917069,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9030295516688768}",20,4,-18.248598341251718,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.9012252974212047}",25,0,-98.30404959882458,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.899424648075924}",20,0,-173.09979955804116,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.8976275964304349}",30,18,2.910198722258826,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,1,-69.6553725999872,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.8940442575003572}",20,0,-70.55752099177664,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.8922579558824083}",30,0,-205.95964055922656,"{0: 17, 1: 0, 2: 9, 3: 1, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.8904752232974726}",35,0,-214.80827153483483,"{0: 21, 1: 1, 2: 9, 3: 1, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.8886960526146174}",20,0,-26.673159118651437,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-67.17775508078927,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.8851483685026271}",30,0,-207.60914333501128,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.8833798408827509}",20,0,-36.20746436307661,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.8816148467834161}",25,0,-97.2664888303137,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.8798533791446438}",25,6,-61.89422375817837,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-96.90569566592585,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.8763409950793732}",30,0,-83.17623992509648,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.874590064603334}",25,0,-122.50572879328321,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.8728426324887193}",20,14,-10.909509076320592,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.8710986917457983}",25,0,-45.41079166391297,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,0,-43.00964370851846,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.867621256485914}",25,0,-28.602062209882156,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.865887748059205}",20,0,-49.064003803130966,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.8641577031846428}",20,0,-102.97157804954212,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.8624311149420455}",20,0,-61.1007023251147,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,1,-47.3262519558541,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.8589882807411234}",20,0,-102.43970356791047,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.8572720210114575}",20,14,1.4804021760867392,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.8555591903710185}",20,0,-191.4790582707453,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
80,False,"{'a': 0.5, 'e': 0.8538497819684817}",25,0,-129.64976283102789,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-55.81715114776674,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.850441204540233}",20,0,-65.86397855784185,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.8487420218802068}",25,0,-152.2440351800575,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.8470462341893996}",25,4,-28.000757227358907,"{0: 15, 1: 4, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.8453538346846587}",30,0,-165.35681225081845,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-102.13556088912289,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.8419791731684999}",20,3,-107.27086806031572,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.8402968976584314}",30,0,-172.54148915608056,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
