trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-143.48597062595852,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-183.20414884442573,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,6,-8.14475356495515,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-104.94654356270371,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-148.39378411730726,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-249.77169897971208,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-138.50659004707632,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-132.23995571418862,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-141.82779111931453,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-140.35404149292646,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-220.01376103063694,"{0: 19, 1: 0, 2: 5, 3: 3, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-50.65793964380018,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,-44.283240581811796,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-107.18880073313468,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-75.01117854593208,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-127.4927413729753,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-165.6131838758584,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-120.95073326145773,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,-52.41893556819247,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-210.49450047319215,"{0: 13, 1: 5, 2: 8, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-187.11319017159346,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-134.71442025561592,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-186.1559060718924,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-129.8084347926009,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-112.13266375353983,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-42.28319274737157,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,4,-95.35419690524131,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,9,-48.839143351648794,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-156.3301454718843,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-57.79132202371983,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
